fold,training_recall_score,validation_recall_score
1,0.8,0.625
2,0.803030303030303,0.7142857142857143
3,0.803030303030303,0.7142857142857143
4,0.7878787878787878,0.8571428571428571
5,0.7727272727272727,0.8571428571428571
6,0.7727272727272727,1.0
7,0.7727272727272727,0.7142857142857143
8,0.8181818181818182,0.7142857142857143
9,0.7846153846153846,0.875
10,0.7846153846153846,0.75
