fold,eğitim_roc_auc_score,validasyon_roc_auc_score
1,0.8828402366863904,0.868421052631579
2,0.8835395373856911,0.849624060150376
3,0.90460821230052,0.868421052631579
4,0.8851981351981352,0.849624060150376
5,0.8822395553164784,0.8571428571428572
6,0.9016496324188632,0.8759398496240601
7,0.921059709521248,0.6466165413533835
8,0.8598708983324368,0.8045112781954888
9,0.8868778280542986,0.8541666666666666
10,0.8920814479638008,0.875
