fold,eğitim_recall_score,validasyon_recall_score
1,0.8615384615384616,0.875
2,0.8484848484848485,1.0
3,0.8787878787878788,0.7142857142857143
4,0.8939393939393939,0.8571428571428571
5,0.8333333333333334,1.0
6,0.8636363636363636,0.8571428571428571
7,0.8787878787878788,0.8571428571428571
8,0.8939393939393939,0.7142857142857143
9,0.8461538461538461,1.0
10,0.8615384615384616,0.75
