fold,training_roc_auc_score,validation_roc_auc_score
1,0.8769230769230768,0.8322368421052632
2,0.8443607674376906,0.9210526315789473
3,0.8654294423525194,0.7255639097744362
4,0.8565537027075489,0.8759398496240601
5,0.8443607674376906,0.9473684210526316
6,0.854895104895105,0.8759398496240601
7,0.8818809395732473,0.7180451127819549
8,0.8624708624708626,0.8759398496240601
9,0.8561085972850679,0.9444444444444444
10,0.8513574660633484,0.875
