fold,eğitim_roc_auc_score,validasyon_roc_auc_score
1,0.8846153846153847,0.868421052631579
2,0.8970324547247625,0.9210526315789473
3,0.9059081943697328,0.8947368421052632
4,0.8940738748431056,0.8759398496240601
5,0.8822395553164784,0.830827067669173
6,0.8940738748431056,0.8759398496240601
7,0.9286354670970056,0.6466165413533835
8,0.8868567330105792,0.8045112781954888
9,0.8957013574660633,0.8819444444444444
10,0.8997737556561086,0.875
